"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSMUSG00000103922.1" 68.6148950966377 -0.621758663223355 0.343299074669073 -1.81112828172551 0.0701209965705941 0.17241878310443
"ENSMUSG00000033845.13" 2811.97337340398 -0.420617853579946 0.109802443970493 -3.83067842909741 0.00012779042595768 0.000893867059734202
"ENSMUSG00000102275.1" 10.9748711380943 -0.295259594025601 0.765170539754396 -0.385874231541081 0.699589815676231 0.829264755900923
"ENSMUSG00000025903.14" 1108.83265467082 0.617706741758952 0.161229516131999 3.83122617110154 0.000127506228089305 0.000892344160397674
"ENSMUSG00000033813.15" 677.892269929033 -0.617014859882403 0.177297188607594 -3.48011643460417 0.000501195914182481 0.00294036396681444
"ENSMUSG00000033793.12" 1530.68468849532 -0.0129738537034575 0.112668936019724 -0.115150228286404 0.90832604823449 0.953877370165198
"ENSMUSG00000025907.14" 521.903345343117 0.0297144827395313 0.493579601188028 0.0602020072709844 0.951994747045525 0.976212795232397
"ENSMUSG00000090031.2" 9.03892123398819 0.398947822570923 0.875399701603368 0.455732189353294 0.648582571741528 NA
"ENSMUSG00000051285.17" 743.13913466963 -0.35568464049677 0.215313604834584 -1.65193760408232 0.098547271260892 0.223031532985155
"ENSMUSG00000103509.1" 86.5892415043018 -0.371407474997995 0.376307956997691 -0.986977469095277 0.323653684098845 0.516237615614154
"ENSMUSG00000103067.1" 8.50264174477957 0.0929735070529732 0.859716766937396 0.108144345473424 0.913881191801397 NA
"ENSMUSG00000061024.8" 1192.80781251438 -0.278295331267718 0.121554800602316 -2.28946392811093 0.0220524114530331 0.0698300351342447
"ENSMUSG00000025911.14" 56.3500069160077 -0.121829123115722 0.36539447855355 -0.333418073524249 0.738818722213387 0.85384093914409
"ENSMUSG00000025912.16" 349.019896456754 0.976855836092627 0.280002226905571 3.4887430963971 0.000485297319931219 0.00286336084634583
"ENSMUSG00000045210.8" 626.286775847084 -0.102601790807225 0.229033504979815 -0.447977211090874 0.654169643485811 0.801002319195477
"ENSMUSG00000025915.14" 268.472841487014 -1.60864580674385 0.271432780468986 -5.92649791216965 3.09463318155926e-09 5.24485621162499e-08
"ENSMUSG00000046101.16" 23.3534816425821 -0.401083297007353 0.584988278327152 -0.68562621144188 0.492948848314441 0.680956302451862
"ENSMUSG00000098234.7" 764.891562153547 -0.546028677157834 0.161991021631898 -3.37073420277952 0.00074968151726016 0.00416112810414745
"ENSMUSG00000093178.1" 16.4340181616813 -0.79600571634264 0.752796120473844 -1.0573988025358 0.290329617811437 0.479583369417047
"ENSMUSG00000099032.2" 52.3815761194922 0.153441782605826 0.380182209639484 0.403600638628857 0.686506415990756 0.820933240253356
"ENSMUSG00000025917.9" 2872.95133438917 -0.172350645570205 0.106069723075595 -1.62488069708048 0.104187981947512 0.232229480703834
"ENSMUSG00000056763.16" 724.593606690126 -0.0757472880482207 0.248813143457842 -0.30443443218286 0.760796938797788 0.868308588511411
"ENSMUSG00000067851.11" 1171.03985727866 0.386156498866827 0.176663826728908 2.18582664044398 0.0288282909336296 0.0865299975854451
"ENSMUSG00000048960.13" 328.720410026358 0.287377525328494 0.666807564452573 0.430975202814955 0.666486400965302 0.809761672715175
"ENSMUSG00000057715.13" 82.8325169635103 -0.62663296143265 0.300163209671691 -2.08764079421339 0.0368302492243173 0.10460694780745
"ENSMUSG00000097628.1" 14.4483305521044 -0.670039345733741 0.682147364062455 -0.982250142760055 0.325976630153798 0.518679979439832
"ENSMUSG00000016918.15" 477.98598817781 -0.703088090631502 0.175662039680475 -4.00250442218708 6.26754960070947e-05 0.000473747108749909
"ENSMUSG00000025938.16" 137.468083230783 1.25286196509037 0.237296644339387 5.27972895941378 1.29375121588806e-07 1.70422203835775e-06
"ENSMUSG00000042414.7" 455.317046644511 -1.2539339961415 0.167949633765468 -7.46613117294765 8.25870210469087e-14 2.55429857952225e-12
